Attendance,AssignmentScore,MidtermScore,FinalScore,Result
83.96,71.88,52.01,43.52,Pass
76.34,63.56,68.18,45.62,Pass
85.77,71.83,55.16,100.0,Pass
96.28,78.15,60.11,60.01,Pass
75.19,70.73,95.12,75.64,Pass
75.19,70.61,89.13,44.18,Fail
96.95,59.47,41.61,44.4,Fail
87.21,60.06,79.94,81.64,Pass
72.37,48.96,79.61,33.01,Pass
84.51,96.24,44.33,51.7,Pass
72.44,51.34,79.74,60.68,Pass
72.41,59.61,92.68,62.23,Pass
80.9,59.22,44.79,56.42,Pass
55.04,83.42,48.48,67.92,Fail
57.3,65.58,83.32,73.86,Pass
71.25,88.72,69.89,74.69,Pass
65.85,59.9,74.93,40.28,Pass
81.77,74.18,71.13,54.32,Pass
67.1,57.47,72.03,83.9,Pass
61.05,100.0,41.12,77.89,Pass
95.59,52.19,83.85,32.54,Pass
75.29,74.65,86.05,67.03,Pass
78.81,79.51,60.87,20.44,Fail
60.9,76.21,64.22,60.94,Pass
71.47,67.22,37.44,97.96,Pass
79.33,68.05,74.26,41.04,Pass
64.19,70.66,75.3,43.31,Pass
82.51,67.79,63.88,75.28,Pass
70.79,84.46,85.24,29.14,Pass
74.5,100.0,58.99,47.34,Pass
70.78,61.64,75.16,71.93,Pass
100.0,49.45,46.65,47.31,Fail
77.84,68.68,64.58,55.28,Pass
65.31,100.0,61.86,74.88,Pass
87.87,57.94,69.06,68.43,Pass
63.35,94.59,58.35,65.34,Pass
80.51,95.17,62.63,53.22,Pass
54.48,61.7,79.87,67.4,Pass
62.06,78.53,57.14,57.53,Pass
80.36,94.43,36.08,69.16,Pass
86.86,64.31,96.49,50.06,Pass
80.06,66.95,89.87,56.35,Pass
76.61,61.27,41.74,40.2,Fail
74.39,54.78,77.41,59.3,Pass
60.26,60.26,55.95,43.78,Fail
69.36,51.64,69.74,37.72,Fail
72.47,70.51,70.3,65.17,Fail
90.69,58.45,60.78,64.25,Pass
82.12,73.51,50.89,75.66,Pass
56.84,46.66,52.57,51.38,Fail
81.89,74.96,48.51,68.16,Fail
73.38,82.5,50.03,71.02,Pass
69.88,40.09,63.79,68.9,Pass
85.34,75.61,52.12,43.49,Pass
90.37,88.42,77.28,62.99,Pass
89.18,51.86,91.77,67.28,Pass
67.93,95.09,54.56,60.14,Pass
74.29,76.29,69.31,18.27,Fail
81.98,59.42,73.99,63.21,Pass
89.71,69.16,73.5,100.0,Pass
72.25,78.37,66.37,52.8,Pass
75.77,71.14,78.37,45.44,Pass
64.72,78.08,73.68,67.47,Pass
63.65,56.19,42.72,66.25,Fail
87.75,72.54,80.64,83.85,Pass
94.27,48.79,80.97,34.84,Fail
77.14,68.33,51.26,74.63,Pass
90.04,56.44,65.68,71.81,Pass
82.34,58.97,77.3,57.16,Pass
70.26,88.54,61.23,66.77,Pass
82.34,86.37,84.31,80.59,Pass
96.46,79.14,100.0,77.45,Pass
77.57,53.62,50.85,37.14,Fail
96.78,65.25,40.14,76.4,Pass
46.56,88.2,70.47,58.71,Pass
87.86,72.13,77.99,61.46,Pass
79.04,100.0,60.84,61.46,Pass
74.41,75.9,91.16,57.0,Pass
79.1,72.88,40.91,83.83,Pass
54.15,65.36,77.47,58.33,Pass
75.36,72.0,54.09,37.61,Pass
82.29,67.71,95.95,52.13,Pass
95.73,80.62,100.0,63.57,Pass
71.78,84.35,51.2,84.58,Pass
68.3,58.21,55.11,72.06,Pass
71.98,50.03,80.47,42.99,Fail
88.98,42.46,58.03,100.0,Pass
81.95,77.62,64.18,65.3,Pass
71.64,53.45,65.46,85.51,Pass
84.16,37.71,30.45,56.97,Fail
79.16,75.83,64.75,70.67,Pass
89.62,100.0,52.58,76.79,Pass
69.58,69.91,56.12,84.36,Pass
74.07,82.58,90.99,81.15,Pass
73.29,71.23,42.38,77.44,Pass
60.44,68.52,79.64,53.7,Pass
81.55,83.79,59.98,48.57,Fail
81.13,65.65,59.96,66.65,Pass
78.06,74.01,79.23,78.66,Pass
75.18,74.83,71.12,55.55,Pass
61.02,59.98,75.27,81.3,Pass
72.95,84.88,82.43,89.05,Pass
73.89,67.38,59.04,41.67,Fail
68.37,58.66,53.98,43.26,Fail
76.06,78.05,45.47,57.19,Pass
82.85,56.52,50.14,66.15,Pass
100.0,70.42,100.0,49.51,Pass
80.09,69.86,87.4,87.04,Pass
81.09,86.29,40.68,68.48,Pass
77.11,77.12,41.2,60.79,Fail
54.97,69.62,73.67,31.28,Fail
77.68,82.27,74.85,33.68,Pass
78.72,90.85,74.88,65.62,Pass
100.0,78.37,60.41,17.35,Fail
75.69,70.16,62.74,80.25,Pass
81.62,50.32,70.9,56.84,Pass
77.58,54.02,66.55,100.0,Pass
63.98,65.42,25.05,100.0,Pass
91.71,60.86,60.86,56.37,Pass
87.02,67.2,49.67,57.87,Pass
87.49,70.85,68.15,79.91,Pass
67.09,77.95,100.0,94.06,Pass
94.83,68.94,71.61,27.24,Pass
61.18,77.3,59.36,24.27,Fail
85.04,70.97,81.59,47.56,Pass
100.0,40.37,73.69,71.65,Pass
66.11,55.91,72.56,69.94,Pass
71.2,67.84,75.92,81.4,Pass
79.2,51.85,100.0,36.01,Fail
71.96,79.0,44.64,13.68,Fail
59.39,92.96,73.53,77.16,Pass
78.82,88.28,48.33,43.44,Fail
65.25,66.8,75.0,19.63,Fail
83.68,92.36,48.46,62.9,Pass
66.97,72.23,57.49,75.86,Pass
96.6,64.94,59.69,57.56,Pass
68.6,60.8,82.56,50.84,Pass
74.14,65.46,81.53,56.81,Pass
87.76,64.18,42.58,52.59,Pass
63.23,72.56,65.99,33.04,Fail
80.73,72.41,52.23,45.71,Pass
93.69,70.05,42.35,70.43,Pass
58.71,76.55,61.09,66.43,Pass
80.22,87.86,59.45,63.36,Pass
81.12,84.24,100.0,40.1,Pass
87.38,47.73,72.79,56.37,Pass
63.16,31.69,40.2,16.46,Fail
62.15,84.01,54.83,63.57,Fail
84.26,49.5,83.38,88.58,Pass
81.56,66.63,100.0,30.52,Pass
81.01,52.45,36.45,48.28,Fail
82.16,42.97,31.16,66.58,Pass
69.84,78.12,98.68,85.06,Pass
80.79,81.39,72.01,51.04,Pass
81.52,61.35,49.37,46.15,Fail
69.43,31.13,74.62,20.62,Fail
100.0,61.81,17.56,62.07,Fail
83.69,75.88,65.06,100.0,Pass
63.7,47.82,70.9,65.55,Pass
85.88,72.75,81.64,59.55,Pass
66.3,69.77,46.75,66.44,Pass
87.45,78.69,66.54,59.78,Pass
91.9,71.79,48.34,43.74,Fail
68.15,55.4,69.6,76.47,Pass
89.56,87.95,48.88,64.52,Pass
82.95,67.62,57.65,60.35,Pass
87.86,69.59,47.08,40.49,Fail
100.0,56.0,76.72,86.07,Pass
75.06,63.35,80.45,73.29,Pass
68.96,56.73,60.78,48.94,Pass
